"ID","Address","Latitude","Longitude","DateOfSale","SalePrice","SalePriceUnit","IsAStudio","Beds","Baths","Size","SizeUnit","LotSize","LotSizeUnit","BuiltInYear"
15063471,"55 Vandewater St APT 9, San Francisco, CA",37805103,-122412856,"12/4/15","710000.0","$",False,"1.0","","550.0","sqft","","","1980.0"
15063505,"740 Francisco St, San Francisco, CA",37804420,-122417389,"11/30/15","2.15","$M",False,"","2.0","1430.0","sqft","2435.0","sqft","1948.0"
15063609,"819 Francisco St, San Francisco, CA",37803728,-122419055,"11/12/15","5.6","$M",False,"2.0","3.5","2040.0","sqft","3920.0","sqft","1976.0"
15064044,"199 Chestnut St APT 5, San Francisco, CA",37804392,-122406590,"12/11/15","1.5","$M",False,"1.0","1.0","1060.0","sqft","","","1930.0"
15064257,"111 Chestnut St APT 403, San Francisco, CA",37804240,-122405509,"1/15/16","970000.0","$",False,"2.0","2.0","1299.0","sqft","","","1993.0"
15064295,"111 Chestnut St APT 702, San Francisco, CA",37804240,-122405509,"12/17/15","940000.0","$",False,"2.0","2.0","1033.0","sqft","","","1993.0"
15064391,"1821 Grant Ave APT 101, San Francisco, CA",37803748,-122408531,"12/15/15","835000.0","$",False,"1.0","1.0","1048.0","sqft","","","1975.0"
15064536,"2300 Leavenworth St, San Francisco, CA",37802408,-122417537,"12/4/15","2.83","$M",False,"3.0","2.0","2115.0","sqft","1271.0","sqft","1913.0"
15064640,"1047-1049 Lombard St, San Francisco, CA",37801889,-122418704,"1/14/16","4.05","$M",True,"","","4102.0","sqft","3049.0","sqft","1948.0"
15064669,"1055 Lombard St # C, San Francisco, CA",37801873,-122418834,"12/31/15","2.19","$M",False,"2.0","3.0","1182.0","sqft","","","1986.0"
15065032,"101 Lombard St APT 116E, San Francisco, CA",37803470,-122404090,"12/7/15","800000.0","$",False,"1.0","1.0","1000.0","sqft","","","1983.0"
15065140,"1407 Montgomery St APT 2, San Francisco, CA",37802299,-122404941,"1/28/16","976000.0","$",False,"1.0","1.0","1000.0","sqft","","","1870.0"
15065727,"1360 Montgomery St APT 1, San Francisco, CA",37801802,-122404269,"11/16/15","720000.0","$",False,"1.0","1.0","552.0","sqft","","","1937.0"
15065810,"1327-1329 Kearny St, San Francisco, CA",37800260,-122406123,"11/25/15","2.25","$M",False,"","4.0","2658.0","sqft","1600.0","sqft","1906.0"
15065946,"44 Macondray Ln APT 2E, San Francisco, CA",37799474,-122414835,"11/30/15","1.29","$M",False,"2.0","2.0","1165.0","sqft","","","1980.0"
15066001,"1070 Green St APT 201, San Francisco, CA",37798792,-122416797,"11/18/15","2.9","$M",False,"2.0","2.0","1465.0","sqft","","","1963.0"
15066036,"1070 Green St APT 1402, San Francisco, CA",37798792,-122416797,"12/31/15","2.6","$M",False,"3.0","2.5","2017.0","sqft","","","1963.0"
15066085,"1907 Leavenworth St APT 8, San Francisco, CA",37798645,-122417500,"11/12/15","908000.0","$",False,"2.0","1.0","956.0","sqft","","","1907.0"
15066201,"1101 Green St # 303, San Francisco, CA",37798234,-122417394,"11/16/15","1.21","$M",False,"2.0","1.0","1003.0","sqft","","","1930.0"
