date,id,author,title,body,star_rating
2017-04-21,R3TUANQ2EB3ECB,MichaelMichaels,Skip it. Life is too short.,"I've never read any of the Harry Potter books so I cannot compare. This book is relentlessly grim. There's not one reason I can think of to recommend this book. Each character is miserable and unhappy and horrible. And there are a million of them and good luck keeping them straight. Ultimately, you do not care what happens to any of them. Skip it. Life is too short.",1.0
2017-04-20,R2DD03ZZ4218VW,Frans van Wyk,Four Stars,Excellent Read with a lot of real life values and scenarios,4.0
2017-04-20,R296NVKLH5QS4W,Sabina Duke,Characters,Hard to keep the characters straight,4.0
2017-04-05,R3MP7W8LH6VHU8,Jen Blau,GIVE IT A CHANCE!,"I almost put this book down. I'm new to Rowling's work (it's true I've not read Harry Potter series . . . yet) YES, It's slow to start. Complicated. Ok it's slow until around the middle. HOWEVER, the story . . . I began to think about it when I wasn't reading. Wondering what was going to happen next in Pagford and with Krystal Weedon, with Samantha Miles. To be honest, I have the very last section to finish (just a few pages) and I can't wait. I'm not a huge fiction reader (quick, modern day women Reads like Maria Semple's work when I do) but I have much appreciated the complicated and sophisticated story Rowling has written here. I say, it's not for everyone sure, but give it a chance!",5.0
2017-04-04,RZWP48RKJCXT1,Lilith Eleanor,Frighteningly good,"Amazing. Rowling combines fantastic writing with a story designed to make you think. It's a long book and it takes a while to read, but you will be better off by doing so.",5.0
2017-04-03,R3VCPL0S2SWKXH,Laura,Didn't enjoy,Not my style of writing,1.0
2017-04-02,R1KWC2OZSLAWR1,Amazon Customer,Three Stars,Maybe I was wxpecting more.,3.0
2017-04-01,R3R0BKMS7OAYJK,retiredandlovinit,Audiobook was quite engaging,"For a long drive from AZ to IL, this audiobook kept me involved and engaged for all of its 18 hours -- not an easy feat. The reader does a fine job of differentiating all the multitudes of Ms. Rowlings' characters and her intersecting, overlapping plot lines. Many characters had unlikable traits, but all of them were believable, and the intrigue of small town and school politics and prejudice seemed all too realistic. Don't read this one looking for a happy ending; some characters do well, some do despicable things, and some die in sad and, perhaps, inevitable circumstances. I picked this audiobook because I enjoyed the Harry Potter books. I knew Ms. Rowling could tell a good story. She did not let me down with this ""more adult"" novel. Good story.",4.0
2017-04-01,RPNYL5RUL5WYT,reader78,Slow moving plot,"I bought this book several years ago and couldn't  get into it. I finally opened it back up and read it while on vacation. If I had another option, I probably would not have finished it. I really wanted to like this book. It deals with some very real issues and socioeconomic prejudices. Unfortunately, it felt like every person in this town was given a fatal flaw just so everyone could have one. In the end, I felt the purpose of the book was more about advancing a political agenda than advancing the plot. The plot was jerky and almost completely stalled at some points. I was NOT expecting Harry Potter as some other readers were, but I was expecting plot development. The book kept hinting of big secrets, and it fell flat. I'm giving it two because there were two characters (Terri and Krystal) that I felt were developed to a degree that their motivations made sense and I could feel empathy for their situations. Very disappointing.",2.0
2017-03-29,R1YLQEFFS1R050,Kindle Customer,GREAT READ!!!,GREAT  Read!!! I liked the way the children  we're involved and how they  viewed  their  parents!!  A good lesson  for all parents!,4.0
2017-03-26,R2JO662YMFOBC4,Summer sweatshirt,Must read,Perfect. 10 of 10.,5.0
2017-03-19,RKVJ19YLBJPL6,R. Klein,Dementors might like it?,"I read this novel when it first came out, and I am still shaken by its unrelenting ugliness. Rowling presents a bitter, hopeless view of contemporary England, an England that I (an Anglophile!) do not recognize. I would not consider re-reading this novel, and I wish that Rowling had published it under a pseudonym so that it would not tempt those who love her Harry Potter series. I applaud Rowling for wanting to strike out in a new direction as a writer, but I am saddened that someone who conceived the classic Harry Potter series chose to follow it up with such a grim and disturbing tale.",2.0
2017-03-17,R29O84JPJ54CA7,Sally Culbertson,A beautiful character study,"I am glad I decided to read this book despite some of the reviews. It is, as expected, well written.  There may not be a lot of action but if you enjoy a story about people and their motivations you will like this one.",4.0
2017-03-08,R34RLLS2W9RQO9,Dana Phillips,,I received the book quickly and in great condition. Just started reading recently and it is intriguing and keeps your attention. Not like the Harry Potter series if that is what your looking for from JK Rowling but worth reading. Would recommend buying from this seller and would purchase from again.,5.0
2017-03-04,R1W838S9VZ062L,Edward J. Lishka,Casual Vacancy,Excellent read,5.0
2017-03-03,RNFTOBR34NL4V,Katie See,"A moving, bittersweet read.","This book is a glimpse into reality and the overwhelming frustration and sadness that can accompany it. I felt I had been swept right into the town of Pagford and became attached to characters, relating to their very authentic and many times contemptible actions. If you loved the Harry Potter series like I did (re-reading to the point where my covers have fallen off), then this book will not disappoint. Although definitely not for children (there were times when the situations in the book made me feel sick) it holds the same magic of creating a world you can fall into with characters that will make you smile, laugh, and cry right along with them.",5.0
2017-02-19,R3C7RETZXKZ4ZD,W. Flack,Not Harry but a great read,JK does it again. She creates strong well defined characters with painfully real flaws that draw you into their stories.,5.0
