"fips","county_name","state_postal","region","election_date","racetype","tvotes","clinton","obama","edwards","margin","winner","POP05_SQMI","popUnder30_00","pop65up_00","presVote04","kerry04","Bush04","pres04margin","pres04winner","pop06","pop00","hisp06","white06","black06","indian06","asian06","hawaii06","mixed06","pct_less_30k","pct_more_100k","pct_hs_grad","pct_labor_force","pct_homeowner","unempFeb07","unempFeb08","unempChg","pctUnins00","subForPctHomes","poverty05","median_hhi05","Catholic","So.Bapt.Conv","Un.Methodist","E.L.C.A.","Construction","Manufacturing","FinancialActivities","GoodsProducing","ServiceProviding"
1001,"Autauga","AL","S","2/5/08","Primary",4118,1760,2268,57,"0.123360855","obama","78.9","30.3","10.2","20081.0","0.236940391","0.756735222","0.519794831","bush","49730.0","43911.0","827.0","39368.0","8559.0","203.0","271.0","12.0","490.0","0.3418","0.075945404","0.7872","0.6515","0.8083","3.0","3.6","0.6","12.8","0.07","10.4",45019,"0.0341187515743","0.337226076802","0.0756795127201","0.0","6.797466964","17.57751016","5.366228632","26.77623632","73.22376368"
1003,"Baldwin","AL","S","2/5/08","Primary",12085,6259,5450,227,"-0.066942491","clinton","97.0","27.2","15.5","69320.0","0.225028852","0.76415176","0.539122908","bush","169162.0","141423.0","4176.0","145687.0","16301.0","770.0","679.0","42.0","1507.0","0.3582","0.094930992","0.8202","0.5982","0.7958","3.1","3.4","0.3","13.8","0.0","11.4",42804,"0.0746501442154","0.197906206602","0.0704554356728","0.00106826193783","10.55814289","9.230176781","7.923872101","21.28235676","78.71764324"
1005,"Barbour","AL","S","2/5/08","Primary",3823,1322,2393,60,"0.280146482","obama","32.3","31.4","13.3","10777.0","0.448362253","0.547369398","0.099007145","bush","28171.0","29044.0","953.0","13793.0","13035.0","115.0","84.0","6.0","185.0","0.5682","0.05032592","0.6465","0.4802","0.7316","5.0","7.1","2.1","19.4","6.4","22.4",29534,"0.00912597286314","0.260899510986","0.0623665541704","0.0","2.501615785","45.06710261","3.379842604","51.2755199","48.7244801"
1007,"Bibb","AL","S","2/5/08","Primary",1751,922,755,44,"-0.095374072","clinton","33.4","32.8","11.6","7600.0","0.274868421","0.72","0.445131579","bush","21482.0","19939.0","304.0","16266.0","4705.0","63.0","25.0","2.0","117.0","0.4746","0.035216037","0.6319","0.5289","0.8019","3.7","4.2","0.5","16.5","0.1","16.6",34212,"0.0","0.386247959282","0.0236723326611","0.0","20.75060255","15.72363136","3.477562263","42.55709859","57.44290141"
1009,"Blount","AL","S","2/5/08","Primary",3471,2735,617,75,"-0.61019879","clinton","80.7","30.2","12.9","21504.0","0.18312872","0.808500744","0.625372024","bush","56436.0","51229.0","3752.0","51031.0","872.0","238.0","125.0","7.0","411.0","0.4149","0.050122696","0.7045","0.6057","0.8349","3.1","3.3","0.2","15.7","0.04","11.4",40588,"0.00736908121668","0.355871746629","0.0711821887739","0.0","9.754604117","22.763883","4.300315576","34.12933917","65.87066083"
1011,"Bullock","AL","S","2/5/08","Primary",2540,471,2032,6,"0.614566929","obama","18.5","31.6","13.2","4717.0","0.680517278","0.316726733","-0.363790545","kerry","10906.0","11613.0","752.0","2413.0","7615.0","38.0","22.0","1.0","65.0","0.6361","0.025795141","0.6048","0.416","0.7444","7.6","7.3","-0.3","22.9","0.0","38.2",21728,"0.00298787775312","0.146491377838","0.0358545330374","0.0","0.0","0.0","3.523766682","56.86009897","43.13990103"
1013,"Butler","AL","S","2/5/08","Primary",2775,1143,1557,40,"0.149189189","obama","27.0","26.4","16.4","8416.0","0.405537072","0.591611217","0.186074144","bush","20520.0","21330.0","171.0","11635.0","8511.0","46.0","82.0","0.0","75.0","0.57","0.047817792","0.6776","0.5453","0.7618","5.4","6.4","1.0","19.3","0.0","23.1",28058,"0.00705640450488","0.321930931352","0.0606570400486","0.0","5.03713085","22.57785965","3.390708652","32.04190893","67.95809107"
1015,"Calhoun","AL","S","2/5/08","Primary",11699,5942,5471,154,"-0.040259851","clinton","184.1","30.5","14.1","45249.0","0.333333333","0.658887489","0.325554156","bush","112903.0","111392.0","2399.0","85993.0","22178.0","449.0","801.0","67.0","1016.0","0.4723","0.059277215","0.739","0.5783","0.7249","3.7","3.9","0.2","15.0","0.09","16.9",35937,"0.00726955251272","0.452556370213","0.0635105880676","0.00286862243762","4.152047308","19.75879181","3.544540062","24.31285277","75.68714723"
1017,"Chambers","AL","S","2/5/08","Primary",3958,1448,2409,54,"0.242799394","obama","58.5","28.5","16.2","13032.0","0.410297729","0.584868017","0.174570289","bush","35176.0","36574.0","432.0","21080.0","13311.0","55.0","82.0","0.0","216.0","0.5047","0.033207288","0.6417","0.5855","0.7569","5.4","8.5","3.1","15.3","0.0","16.2",31538,"0.00754448787688","0.33324221633","0.107016920428","0.0","4.607415485","36.30627824","2.344601963","42.75588098","57.24411902"
1019,"Cherokee","AL","S","2/5/08","Primary",2689,2040,485,105,"-0.578281889","clinton","41.0","27.8","15.9","9049.0","0.335948724","0.654547464","0.31859874","bush","24863.0","24059.0","273.0","22890.0","1358.0","103.0","59.0","0.0","180.0","0.4853","0.036427248","0.6352","0.5496","0.8172","3.7","4.3","0.6","15.0","0.0","16.2",33858,"0.0","0.416166416542","0.0847507086877","0.0","4.429688157","28.8644196","4.160712785","37.98436581","62.01563419"
1021,"Chilton","AL","S","2/5/08","Primary",3120,1911,1131,55,"-0.25","clinton","58.4","30.5","12.9","16693.0","0.226322411","0.768525729","0.542203319","bush","41953.0","39805.0","1608.0","35504.0","4362.0","122.0","111.0","2.0","244.0","0.4532","0.03962017","0.6619","0.5972","0.8223","3.2","3.6","0.4","15.4","0.08","16.1",36098,"0.0081074937489","0.500138913444","0.039047306342","0.0","11.14638128","22.9639035","4.557409759","37.30273898","62.69726102"
1023,"Choctaw","AL","S","2/5/08","Primary",2469,672,1720,27,"0.424463345","obama","16.4","26.8","14.6","7227.0","0.457036115","0.539227895","0.082191781","bush","14656.0","15871.0","122.0","8001.0","6429.0","26.0","12.0","0.0","66.0","0.5712","0.049495586","0.6495","0.4866","0.8634","5.0","6.3","1.3","17.1","0.0","24.4",27512,"0.00659464891345","0.33821127999","0.0702801155634","0.0","5.620874587","40.25371287","3.238448845","53.77475248","46.22524752"
1025,"Clarke","AL","S","2/5/08","Primary",3759,1273,2390,57,"0.297153498","obama","21.6","28.5","13.5","11394.0","0.406090925","0.590661752","0.184570827","bush","27248.0","27842.0","195.0","15042.0","11763.0","69.0","55.0","1.0","123.0","0.5279","0.049727392","0.7082","0.5425","0.8115","5.9","6.0","0.1","16.7","0.0","20.9",29531,"0.00821760505257","0.42516237844","0.0713029748448","0.0","4.787955511","29.62293155","5.809747717","39.62383579","60.37616421"
1027,"Clay","AL","S","2/5/08","Primary",1663,1047,555,38,"-0.295850872","clinton","22.9","28.1","16.5","6576.0","0.287864964","0.703163017","0.415298054","bush","13829.0","14263.0","296.0","11282.0","2047.0","58.0","12.0","1.0","133.0","0.5371","0.020450607","0.6599","0.5589","0.7721","5.1","6.0","0.9","16.5","0.0","15.8",33512,"0.00491090220289","0.5636312614","0.117721341378","0.0","2.368911365","65.14062639","3.238399432","69.96717239","30.03282761"
1029,"Cleburne","AL","S","2/5/08","Primary",1210,888,237,52,"-0.538016529","clinton","25.5","29.6","13.7","5798.0","0.239910314","0.753708175","0.513797861","bush","14700.0","14174.0","298.0","13587.0","637.0","52.0","24.0","1.0","101.0","0.485","0.03525641","0.6291","0.5873","0.8043","3.0","3.7","0.7","14.8","0.0","15.5",34287,"0.0","0.582383346315","0.0679034199533","0.0","19.5750541","28.60515444","3.757623451","55.43970096","44.56029904"
1031,"Coffee","AL","S","2/5/08","Primary",3434,1718,1591,64,"-0.03698311","clinton","65.1","29.3","14.1","17616.0","0.25431426","0.739044051","0.484729791","bush","46027.0","43556.0","1568.0","34296.0","8504.0","394.0","525.0","46.0","694.0","0.4393","0.06586792","0.7315","0.5959","0.7139","3.9","3.5","-0.4","15.8","0.0","15.1",37025,"0.0284764415912","0.486644503038","0.0820130688983","0.0","4.6532752","23.63490086","5.997612374","30.39811066","69.60188934"
1033,"Colbert","AL","S","2/5/08","Primary",8192,4729,3150,220,"-0.192749023","clinton","87.3","28.2","15.4","23935.0","0.442782536","0.550992271","0.108209735","bush","54766.0","55032.0","783.0","44057.0","9032.0","200.0","183.0","13.0","498.0","0.468","0.057942014","0.7333","0.562","0.7571","4.3","4.8","0.5","14.9","0.0","15.7",35590,"0.0197330132402","0.408045977011","0.0634366361123","0.0","9.123295524","23.66815446","5.241390606","33.76192621","66.23807379"
1035,"Conecuh","AL","S","2/5/08","Primary",2392,796,1527,32,"0.305602007","obama","15.8","26.9","15.8","6021.0","0.451586115","0.543265238","0.091679123","bush","13403.0","14054.0","129.0","7305.0","5842.0","28.0","17.0","6.0","76.0","0.5964","0.035844156","0.6767","0.4957","0.8106","5.5","7.0","1.5","19.1","0.0","27.7",24587,"0.0","0.230463482149","0.0881538789126","0.0","2.521793275","16.91573267","2.459526775","26.96139477","73.03860523"
1037,"Coosa","AL","S","2/5/08","Primary",1853,691,1116,24,"0.229357798","obama","16.9","29.9","14.4","5001.0","0.410917816","0.580883823","0.169966007","bush","11044.0","11880.0","163.0","7318.0","3453.0","40.0","7.0","0.0","63.0","0.5019","0.034938219","0.6571","0.5432","0.8481","6.1","6.1","0.0","17.2","0.0","18.7",31142,"0.0","0.162596295689","0.0850680216358","0.0","2.47133758","60.91719745","0.0","67.05732484","32.94267516"
1039,"Covington","AL","S","2/5/08","Primary",2823,1717,960,93,"-0.268154446","clinton","35.5","26.7","17.9","14627.0","0.234019279","0.760169549","0.52615027","bush","37234.0","37522.0","366.0","31563.0","4732.0","217.0","105.0","12.0","239.0","0.5645","0.042969499","0.6843","0.5592","0.7772","3.7","4.6","0.9","16.6","15.4","18.4",30847,"0.00866307034094","0.53883766044","0.0579309611756","0.0","6.486971108","22.48026145","3.872516413","30.17034445","69.82965555"
1041,"Crenshaw","AL","S","2/5/08","Primary",1664,797,791,37,"-0.003605769","clinton","21.8","27.0","17.1","5500.0","0.308727273","0.686727273","0.378","bush","13719.0","13696.0","111.0","10002.0","3420.0","60.0","16.0","1.0","109.0","0.572","0.036963933","0.6008","0.5407","0.7664","4.1","4.0","-0.1","18.4","0.0","23.5",29410,"0.0","0.411342846689","0.0807903402854","0.0","6.044198895","29.65745856","3.73480663","39.41436464","60.58563536"
1043,"Cullman","AL","S","2/5/08","Primary",7152,5517,1256,246,"-0.595777405","clinton","103.9","29.6","14.6","35191.0","0.228609588","0.762069847","0.53346026","bush","80187.0","77591.0","2748.0","75279.0","957.0","313.0","218.0","26.0","646.0","0.4601","0.055429277","0.7041","0.6019","0.7807","3.3","3.6","0.3","15.4","0.05","14.7",36693,"0.0240697959552","0.477420853607","0.0562575016455","0.0","7.54176611","22.67022322","4.029201179","32.78955496","67.21044504"
